site_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
200,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,,,,,,,,,,,
201,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,,,,,,,,,,,,
202,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,,,,,,,,,,,,,
203,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,13.999972,12.967716,12.9032,11.225784,9.03224,9.03224,9.03224,,,,,,,,,,,
204,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,,,,,,,,,,
205,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,,,,,,,,,,,,
206,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,,,,,,,,,,
207,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,,,,,,,,,,,,,,,,,,,,
208,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,,,,,,,,,,
209,1.327404,1.327404,1.327404,1.327404,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,3.54838,3.999992,3.999992,3.999992,3.999992,4.645152,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,,,,,,,
210,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,,,,,,,,,,,,
211,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,,,,,,,,,,
212,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,,,,,,,,,,,,,,,,,,
213,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,,,,,,,,,,,,,,,,,,,,
214,3.999992,3.999992,4.645152,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,,,,,,,,,,,,,,,,,,,,,,
215,1.225804,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,3.54838,3.999992,3.999992,3.999992,3.999992,4.645152,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,,,,,,,,,
216,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,,,,,,,,,,,,,,,,,,,,,
217,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,,,,,,,,,,,,,,,,,
218,1.327404,1.327404,1.327404,1.327404,1.327404,1.327404,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,3.54838,3.999992,3.999992,3.999992,3.999992,4.645152,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,,,,,,,,,
219,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,,,,,,,,,,,,,
222,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,,,,,,,,,,,
223,1.327404,1.327404,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,3.54838,3.999992,3.999992,3.999992,3.999992,4.645152,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,,,,,,,,,,,,,,,
228,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,13.999972,12.967716,12.9032,11.225784,9.03224,9.03224,,,,,,,,,,,,,,,,,,
231,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,,,,,,,,,,,,,,,,,,,,,
233,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,13.999972,12.967716,12.9032,11.225784,9.03224,9.03224,,,,,,,,,,,,,,,,,,
234,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,,,,,,,,,,,,,,,,,,
235,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,13.999972,12.967716,12.9032,11.225784,9.03224,9.03224,,,,,,,,,,,,,,,,,,
238,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,,,,,,,,,,,,,,,,,
241,1.327404,1.327404,1.327404,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,3.54838,3.999992,3.999992,3.999992,3.999992,4.645152,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,,,,,,,,,,,,,,
244,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588
248,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,13.22578,14.903196,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,13.999972,12.967716,12.9032,11.225784,9.03224,9.03224,,,,,,,,,,,
249,1.327404,1.327404,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.225804,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,1.548384,3.54838,3.999992,3.999992,3.999992,3.999992,4.645152,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,,,,,,,,,,,,,,,
250,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,,,,,,,,,,,,,,,,,,,
251,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,13.741908,13.741908,12.387072,12.129008,13.161264,,,,,,,,,,,,,,,,,,,
254,17.09674,17.09674,17.09674,17.483836,17.161256,16.967708,16.645128,15.48384,12.58062,12.58062,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,13.999972,12.967716,12.9032,11.225784,9.03224,9.03224,,,,,,,,,,,,,,,,,,,
256,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.419348,3.483864,3.483864,3.806444,3.806444,9.935464,9.612884,10.193528,10.387076,10.580624,10.580624,10.64514,10.709656,10.709656,10.709656,10.064496,9.870948,9.870948,9.870948,9.870948,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,,,,,,,,,,
266,9.225788,9.225788,9.225788,9.35482,10.32256,10.516108,10.838688,11.999976,14.903196,14.967712,15.032228,14.967712,18.38706,18.06448,18.06448,11.93546,11.93546,11.354816,11.161268,13.87094,13.87094,13.806424,13.741908,12.9032,13.290296,9.870948,10.064496,12.451588,12.451588,12.451588,12.451588,12.516104,9.612884,9.612884,9.6774,9.6774,13.999972,13.999972,13.999972,,,,,,,,,,,,
