site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
64,15,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,,,,,,,,,,,
65,47,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,
66,48,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,
67,70,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,,,,,,,
69,14,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,,,,,,,,,,,,,,,,,,,,
70,59,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,
71,21,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,,,,,,,,,,,
72,12,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,
73,19,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,,,,,,,,,,,,,,,,,,,,
74,44,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,
75,4,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,,,,,,,,,,,
76,2,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,
77,58,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,
78,8,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,,,,,,,,,,,
80,48,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,,,,,,,,,,,,,,,,,,,,
81,8,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,,,,,,
82,9,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,,,,,,,,,,,,,
84,48,9.173238,9.495106,6.115492,10.138842,12.391918,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,9.65604,6.598294,9.495106,10.782578,9.495106,6.920162,7.081096,8.0467,6.43736,7.724832,,,,,,,,,,,,,,
85,64,9.173238,9.495106,6.115492,10.138842,12.391918,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,9.65604,6.598294,9.495106,10.782578,9.495106,6.920162,7.081096,8.0467,6.43736,7.724832,,,,,,,,,,,,,,
86,20,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,,,,,,
87,22,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,,,,,,,,,,,,,,,,
90,57,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,,,,,,,,,,,,
91,63,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,,,,,,,,,,,,
93,13,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,,,,,
94,41,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,,
95,43,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,,
96,21,10.782578,10.138842,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,9.65604,,,,,,,,,,,,,,,,,,,
100,1,10.782578,10.138842,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,,,,,,,,,,,
101,42,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,,
102,41,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,,,,,,,,,,,,,
105,1,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,,,,,
106,61,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,9.65604,,,
116,55,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,,,,,,,,,,
122,24,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,
132,67,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,,,,,,,,,,
140,14,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,,,,,,,,,,,,,
158,46,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,,,,,,,,,
165,23,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,,,,,,,,,
168,5,8.529502,7.081096,10.782578,10.138842,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,,,,,,,,,,,,,,,,
173,10,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,,,,,,,,,,,,,
183,19,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,,,,,,,,,,,,,,,
189,47,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,7.24203,12.713786,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,,,,,
190,33,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,6.115492,10.138842,6.920162,8.368568,9.012304,8.529502,7.081096,12.713786,8.368568,6.115492,7.402964,8.85137,8.368568,,,,,,,,,,
191,70,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,
193,7,10.138842,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,10.943512,13.518456,6.43736,7.724832,10.943512,10.138842,12.07005,9.334172,9.012304,7.24203,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,,,,,,,,,,,
194,63,9.173238,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,,,,,,,,,,,,,,,,,,,
195,68,9.495106,6.115492,10.138842,12.391918,11.426314,17.70274,21.72609,13.357522,8.207634,5.793624,8.0467,7.24203,10.138842,10.138842,11.587248,10.782578,10.782578,10.299776,8.85137,10.299776,7.724832,10.621644,8.529502,14.001258,13.840324,7.885766,7.081096,6.276426,9.495106,9.334172,8.690436,9.012304,9.495106,10.621644,9.977908,8.207634,7.724832,8.529502,4.988954,6.43736,6.920162,,,,,,,,,,
196,57,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,9.65604,6.598294,9.495106,10.782578,9.495106,6.920162,7.081096,8.0467,6.43736,7.724832,,,,,,,,,,,,,,,,,,,,
197,4,8.529502,7.081096,10.782578,10.138842,12.391918,15.932466,17.863674,9.977908,15.771532,13.518456,15.127796,16.415268,8.529502,10.782578,12.552852,9.012304,8.0467,11.426314,14.001258,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,8.529502,8.529502,8.0467,12.713786,8.85137,8.690436,9.65604,,,,,,,,,
198,36,9.012304,4.988954,10.46071,9.012304,6.920162,9.012304,6.759228,8.207634,6.598294,8.85137,6.759228,6.759228,8.207634,11.104446,8.529502,8.0467,8.529502,9.173238,4.82802,7.402964,6.43736,7.885766,4.988954,9.173238,8.690436,6.598294,6.920162,9.65604,5.63269,6.43736,8.207634,,,,,,,,,,,,,,,,,,,,
